"","depress1","depress2","depress3","depress4","depress5","depress6","depress7","depress8","depress9","depress10","depress11","depress12","depress13","depress14","depress15","depress16","depress17","depress18","depress19","depress20","depression","vote18","female","age","educ","hispanic","black","income","married","attend","unemployed","polint","inteff1","inteff2","motivation"
"22","1.0","1.0","1.0","4.0","1.0","1.0","2.0","4.0","1.0","1.0","1.0","2.0","2.0","1.0","1.0","2.0","1.0","1.0","1.0","1.0","1.5","1.0","0.0","43.0","7.0","1.0","0.0","5.0","0.0","3.0","1.0","0.6666667","0.25","0.0","0.30555555"
"23","1.0","1.0","1.0","1.0","1.0","2.0","2.0","2.0","1.0","1.0","2.0","1.0","1.0","2.0","1.0","2.0","1.0","2.0","1.0","2.0","1.4","1.0","0.0","76.0","5.0","0.0","1.0","12.0","0.0","1.0","0.0","1.0","0.25","0.25","0.5"
"24","2.0","1.0","1.0","1.0","1.0","1.0","2.0","2.0","1.0","2.0","3.0","2.0","1.0","1.0","1.0","1.0","1.0","2.0","1.0","1.0","1.4","0.0","1.0","44.0","4.0","0.0","0.0","7.0","1.0","2.0","0.0","0.33333334","0.0","0.75","0.3611111"
"25","2.0","1.0","1.0","2.0","1.0","1.0","2.0","2.0","1.0","1.0","2.0","2.0","2.0","2.0","1.0","2.0","1.0","1.0","1.0","2.0","1.5","1.0","1.0","51.0","3.0","0.0","0.0","3.0","1.0","1.0","1.0","0.6666667","0.25","0.75","0.5555556"
"26","2.0","1.0","1.0","3.0","2.0","1.0","2.0","2.0","1.0","2.0","1.0","1.0","1.0","2.0","1.0","2.0","2.0","1.0","2.0","3.0","1.65","0.0","1.0","38.0","4.0","0.0","0.0","9.0","1.0","3.0","0.0","0.0","0.25","0.25","0.16666667"
"27","2.0","1.0","4.0","4.0","2.0","4.0","4.0","4.0","4.0","4.0","4.0","2.0","1.0","3.0","4.0","2.0","4.0","4.0","3.0","4.0","3.2","0.0","1.0","38.0","5.0","0.0","0.0","8.0","1.0","1.0","0.0","0.33333334","1.0","1.0","0.7777778"
"28","3.0","3.0","3.0","2.0","3.0","3.0","3.0","2.0","3.0","3.0","3.0","2.0","3.0","3.0","3.0","2.0","3.0","3.0","3.0","3.0","2.8","0.0","1.0","48.0","5.0","0.0","0.0","10.0","0.0","5.0","0.0","0.0","0.5","0.5","0.33333334"
"29","1.0","1.0","1.0","1.0","1.0","1.0","1.0","2.0","1.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","2.0","1.0","1.0","1.15","1.0","1.0","62.0","4.0","0.0","0.0","5.0","1.0","2.0","0.0","0.6666667","0.5","0.75","0.6388889"
"30","3.0","4.0","4.0","4.0","4.0","4.0","4.0","3.0","2.0","3.0","3.0","3.0","4.0","4.0","3.0","2.0","3.0","4.0","4.0","4.0","3.45","0.0","0.0","19.0","2.0","0.0","0.0","11.0","0.0","1.0","0.0","0.6666667","0.25","0.0","0.30555555"
"31","1.0","4.0","2.0","4.0","4.0","2.0","1.0","1.0","2.0","3.0","3.0","3.0","1.0","1.0","2.0","3.0","3.0","3.0","4.0","4.0","2.55","0.0","0.0","30.0","7.0","0.0","0.0","11.0","1.0","3.0","0.0","1.0","0.5","0.5","0.6666667"
"32","2.0","2.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","1.0","2.0","3.0","2.0","3.0","2.0","3.0","1.0","2.0","2.0","2.0","2.2","0.0","1.0","57.0","3.0","1.0","0.0","2.0","0.0","1.0","0.0","0.0","0.5","0.5","0.33333334"
"33","1.0","4.0","1.0","1.0","4.0","4.0","2.0","1.0","1.0","1.0","1.0","1.0","4.0","1.0","1.0","1.0","2.0","1.0","1.0","3.0","1.8","1.0","1.0","76.0","6.0","1.0","0.0","3.0","0.0","2.0","0.0","1.0","0.5","0.5","0.6666667"
"34","1.0","1.0","2.0","2.0","2.0","1.0","2.0","2.0","3.0","1.0","3.0","2.0","3.0","1.0","2.0","2.0","4.0","1.0","2.0","1.0","1.9","1.0","1.0","24.0","3.0","0.0","1.0","3.0","0.0","1.0","0.0","0.0","0.5","0.5","0.33333334"
"35","1.0","1.0","1.0","2.0","1.0","1.0","1.0","4.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.2","1.0","1.0","67.0","5.0","1.0","0.0","11.0","1.0","4.0","0.0","1.0","0.75","1.0","0.9166667"
"36","4.0","3.0","4.0","3.0","4.0","4.0","3.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","3.0","3.8","0.0","0.0","62.0","6.0","0.0","0.0","8.0","1.0","4.0","0.0","0.33333334","0.5","1.0","0.6111111"
"37","2.0","2.0","2.0","2.0","2.0","4.0","4.0","3.0","4.0","3.0","4.0","3.0","3.0","4.0","3.0","2.0","3.0","3.0","3.0","3.0","2.95","0.0","1.0","36.0","3.0","0.0","0.0","1.0","0.0","2.0","1.0","0.6666667","0.5","0.75","0.6388889"
"38","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","3.0","1.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.15","0.0","1.0","39.0","5.0","1.0","0.0","12.0","1.0","2.0","0.0","0.33333334","0.5","0.5","0.44444445"
"39","2.0","1.0","2.0","2.0","2.0","2.0","2.0","3.0","2.0","2.0","3.0","3.0","3.0","2.0","3.0","2.0","1.0","3.0","3.0","3.0","2.3","1.0","1.0","73.0","4.0","0.0","1.0","4.0","0.0","2.0","0.0","0.33333334","0.5","0.25","0.3611111"
"40","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","45.0","5.0","1.0","0.0","13.0","1.0","1.0","0.0","0.6666667","1.0","1.0","0.8888889"
"41","2.0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","3.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.5","1.0","0.0","30.0","5.0","0.0","0.0","4.0","1.0","4.0","0.0","1.0","0.0","0.25","0.41666666"
"42","1.0","4.0","1.0","2.0","1.0","2.0","1.0","2.0","1.0","3.0","1.0","3.0","1.0","3.0","3.0","3.0","3.0","4.0","2.0","4.0","2.25","0.0","0.0","36.0","4.0","0.0","0.0","8.0","0.0","4.0","0.0","0.6666667","0.75","0.25","0.5555556"
"43","2.0","1.0","1.0","1.0","1.0","2.0","2.0","1.0","2.0","1.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0","2.0","1.0","2.0","1.35","1.0","1.0","69.0","5.0","0.0","0.0","9.0","1.0","1.0","0.0","1.0","0.75","0.75","0.8333333"
"44","2.0","2.0","2.0","2.0","3.0","2.0","2.0","3.0","2.0","3.0","1.0","3.0","3.0","2.0","2.0","2.0","1.0","2.0","1.0","2.0","2.1","0.0","0.0","31.0","3.0","0.0","0.0","7.0","0.0","1.0","1.0","0.6666667","0.5","0.75","0.6388889"
