depression,vote18,female,age,educ,hispanic,black,income,married,attend,unemployed
2.15,0,1,26,1,1,0,3,0,1,1
1.2,0,1,33,3,1,0,4,1,2,0
3,0,1,20,3,1,0,2,0,4,0
1.6,1,1,45,3,1,0,10,0,1,0
2.7,0,1,24,7,1,0,9,0,1,0
1.5,0,1,52,4,1,0,6,1,4,1
2.1,1,1,56,2,0,0,6,1,3,0
1.85,1,1,31,3,1,0,1,0,4,0
2.7,1,0,55,5,0,0,11,1,2,0
1.6,1,0,39,2,1,0,5,0,1,1
1.25,1,0,68,5,0,0,11,1,1,0
1.9,1,1,57,3,1,0,8,1,2,0
3,0,1,20,7,1,1,13,0,5,0
3.25,0,1,21,2,1,0,1,0,3,0
1.7,1,0,72,4,1,0,4,1,5,0
2.6,0,1,48,2,1,0,1,0,4,1
2.35,1,1,33,2,1,0,4,1,4,1
1.55,1,1,54,2,1,0,9,0,2,1
1.3,1,0,66,3,0,0,10,1,2,0
3.1,1,1,56,5,1,0,12,1,5,0
1.7,0,0,38,6,0,0,11,0,2,0
1.85,0,0,49,3,1,0,5,0,2,0
1.25,1,0,73,6,1,0,11,1,4,0
2.9,0,1,37,2,1,0,1,0,1,1
1.55,1,1,29,5,1,0,4,0,1,0
2.1,1,1,50,2,1,0,8,1,1,1
1.85,1,1,50,4,1,0,4,1,1,1
1.2,1,1,62,6,1,0,7,1,4,0
2.55,0,1,22,2,0,0,5,0,1,1
1.6,1,0,27,5,1,0,10,0,3,0
1.7,1,1,44,4,1,0,10,1,1,0
1,0,0,61,7,1,0,11,0,5,0
1.35,1,1,66,4,1,0,11,1,4,0
1.05,1,0,70,5,1,0,13,1,2,0
2.7,0,0,47,2,1,0,6,0,1,0
2.75,1,1,54,5,0,1,12,1,2,0
1.35,1,1,49,5,1,0,12,1,2,0
2.1,0,1,58,5,1,0,6,1,4,0
2,0,1,23,3,1,0,3,0,1,0
1.8,0,1,24,5,1,0,5,0,3,0
2.45,0,1,21,1,1,0,2,0,1,0
1.15,1,1,59,5,1,0,9,1,4,0
1.2,1,0,78,5,0,0,7,1,4,0
1.15,1,0,60,6,1,0,11,1,4,0
1.65,1,1,24,5,1,0,9,0,4,1
1.5,0,1,39,5,1,0,7,0,2,0
1.2,1,0,84,3,1,0,6,1,3,0
1.15,1,0,76,2,0,0,5,0,1,0
1.1,1,1,26,5,1,0,9,1,2,0
1.15,0,0,76,7,1,0,11,1,3,0
2,1,0,20,2,1,0,1,0,2,1
1.7,1,1,37,3,1,0,10,0,4,0
2.4,1,1,30,5,1,0,5,1,1,1
2.05,1,1,23,5,1,0,4,0,1,0
1.55,1,0,69,2,0,1,5,0,2,0
1.45,1,1,70,5,0,0,4,0,2,0
1.45,0,0,36,5,1,0,8,0,4,0
2,1,0,25,6,1,0,6,0,3,1
2.85,1,1,21,5,1,1,1,0,4,0
2.7,1,1,30,2,1,0,1,0,1,0
1.8,0,1,27,2,1,0,7,1,1,0
2.4,1,0,35,4,1,0,1,0,1,1
1.7,1,0,47,5,1,0,11,1,3,0
2.8,0,1,52,3,1,0,1,0,2,1
2.85,1,1,31,2,0,0,1,0,2,1
1.5,1,0,55,6,1,0,11,1,5,0
2.3,1,0,23,5,1,0,9,0,4,0
1.15,1,1,37,5,0,0,7,1,3,0
1.3,0,0,24,2,1,0,9,0,2,0
1.25,1,1,66,3,1,0,4,1,5,0
1.95,1,1,66,3,1,0,3,0,4,0
1.55,1,0,49,5,0,0,5,0,1,1
1.35,0,0,45,5,1,0,6,0,1,0
3.4,0,0,60,1,1,0,3,0,4,0
1.95,0,1,48,5,1,1,4,0,4,0
1.5,1,1,46,2,1,0,9,1,3,0
2.1,0,1,36,4,1,0,3,0,1,0
1.65,0,1,39,5,1,0,1,1,1,1
1.8,1,1,36,6,1,0,9,1,4,0
1.35,0,1,72,3,1,0,5,0,4,0
3.35,0,1,48,3,1,0,4,0,1,0
2,1,1,29,4,1,0,3,0,1,0
2.45,1,1,40,3,1,0,8,1,3,0
1.05,1,0,70,5,1,0,2,0,4,0
1.9,0,1,28,3,0,0,5,0,1,0
2.05,0,1,38,6,1,0,6,0,1,0
1.55,0,0,70,3,0,0,9,1,5,0
3.2,0,1,26,5,1,0,4,0,4,0
1.55,1,1,44,2,1,0,13,1,1,0
1.85,0,1,52,3,0,0,2,1,2,1
